group,outcome_positive,outcome_negative,total,proportion,percent,z_score,standard_error_proportion,standard_error_percent_points,ci_half_width_proportion,ci_half_width_percent_points,ci_lower_proportion,ci_upper_proportion,ci_lower_percent,ci_upper_percent
Crohn disease,197,1206676,1206873,0.00016323175678,0.01632317567797,1.96,0.0000116288319214,0.00116288319214,0.0000227925105659,0.00227925105659,0.000140439246214,0.000186024267346,0.0140439246214,0.01860242673456
Ulcerative colitis,319,1191653,1191972,0.000267623736128,0.0267623736128,1.96,0.000014982047383,0.0014982047383,0.0000293648128706,0.00293648128706,0.000238258923257,0.000296988548999,0.0238258923257,0.02969885489987
Non-IBD,22867,305042893,305065760,0.0000749576091397,0.00749576091397,1.96,0.000000495672531506,0.0000495672531506,0.000000971518161752,0.0000971518161752,0.000073986090978,0.0000759291273015,0.0073986090978,0.00759291273015
